awardeeCounty,Year_date,awardee,d_inv,d_59,estimatedTotalAmt,d_99,estimatedTotalAmt_d_99,total
Charlottesville,2011,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,0,1,50000,0,0,50000
Charlottesville,2012,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,0,2,100000,0,0,100000
Charlottesville,2013,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,0,2,100000,0,0,100000
Charlottesville,2015,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,0,1,50000,0,0,50000
Charlottesville,2017,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,1,0,0,1,500000,500000
Charlottesville,2019,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,0,1,50000,0,0,50000
Charlottesville,2020,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,0,1,50000,0,0,50000
Chattanooga,2020,UNIVERSITY OF TENNESSEE,0,1,50000,0,0,50000
Chautauqua,2020,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,0,0,50000
Chicago,2012,UNIVERSITY OF ILLINOIS,0,2,99999,0,0,99999
Chicago,2014,UNIVERSITY OF ILLINOIS,0,1,50000,0,0,50000
Chicago,2014,"UNIVERSITY OF CHICAGO, THE",1,0,0,1,296776,296776
Chicago,2015,"UNIVERSITY OF CHICAGO, THE",0,2,100000,0,0,100000
Chicago,2015,UNIVERSITY OF ILLINOIS,0,4,200000,0,0,200000
Chicago,2016,"UNIVERSITY OF CHICAGO, THE",0,4,200000,0,0,200000
Chicago,2017,UNIVERSITY OF ILLINOIS,0,1,50000,0,0,50000
Chicago,2017,"UNIVERSITY OF CHICAGO, THE",1,0,0,1,299997,299997
Chicago,2019,ILLINOIS INSTITUTE OF TECHNOLOGY,0,1,50000,0,0,50000
Chicago,2020,DE PAUL UNIVERSITY,0,1,50000,0,0,50000
Chicago,2020,LOYOLA UNIVERSITY OF CHICAGO,0,1,50000,0,0,50000
Chicago,2020,"UNIVERSITY OF CHICAGO, THE",0,1,50000,0,0,50000
Chicago,2020,UNIVERSITY OF ILLINOIS,0,1,50000,0,0,50000
Chicago,2021,UNIVERSITY OF ILLINOIS,0,1,50000,0,0,50000
Chico,2012,CHICO STATE ENTERPRISES,0,1,50000,0,0,50000
